EmployeeID,Age,Department,YearsExperience,PerformanceScore,MonthlySalary,TrainingHours,PromotionLast5Years
242,58,Operations,3,5,13520,117,Yes
243,40,IT,6,3,14206,10,Yes
244,55,Marketing,11,4,4707,6,Yes
245,45,Finance,12,3,11493,46,No
246,55,Operations,15,3,5444,111,No
247,45,Finance,5,3,11509,7,No
248,49,Finance,13,3,8906,4,No
249,38,Marketing,30,3,5955,80,No
250,38,Finance,34,5,5927,86,Yes
251,22,IT,9,3,3857,65,No
252,55,Finance,16,5,5720,90,Yes
253,36,Marketing,29,3,6022,62,No
254,56,Finance,6,3,11868,20,Yes
255,53,Operations,17,5,3378,70,No
256,24,Operations,18,3,11408,118,Yes
257,53,Operations,14,2,14892,116,Yes
258,34,HR,21,3,14088,101,No
259,41,Operations,29,4,9058,89,No
260,40,Operations,19,5,10418,93,Yes
261,28,HR,31,3,7963,11,No
262,27,Operations,24,3,7851,111,No
263,23,Marketing,22,5,5989,10,Yes
264,37,Operations,4,1,6830,53,Yes
265,53,Operations,29,2,14848,80,Yes
266,32,HR,26,2,8403,9,No
267,42,Marketing,6,3,12698,118,Yes
268,42,Finance,4,5,9850,111,Yes
269,50,IT,14,4,12482,15,No
270,58,Marketing,7,3,4939,14,Yes
271,58,Finance,8,2,7694,57,Yes
272,28,Marketing,10,3,10325,78,No
273,47,Finance,21,5,10715,118,Yes
274,47,Finance,33,4,11427,83,No
275,54,Marketing,34,1,12975,3,No
276,41,HR,12,4,10627,95,Yes
277,50,Marketing,10,3,7195,21,Yes
278,53,Marketing,31,2,5786,34,No
279,48,Finance,14,5,4377,13,No
280,53,IT,0,3,5755,93,No
281,25,Finance,23,1,5083,30,No
282,39,Operations,21,5,7409,73,No
283,24,Marketing,2,5,9570,69,No
284,55,Marketing,13,5,7612,90,No
285,37,HR,1,3,9107,10,Yes
286,48,Finance,31,1,13892,35,No
287,50,HR,32,3,7104,73,Yes
288,49,Marketing,5,5,6549,79,No
289,26,Finance,24,5,7152,23,Yes
290,55,Finance,33,2,13522,84,Yes
291,57,Operations,10,4,10657,39,No
292,44,Operations,6,3,8478,104,No
293,49,IT,21,1,14953,99,Yes
294,51,Operations,9,5,13203,112,Yes
295,55,Finance,20,3,5641,41,Yes
296,53,Operations,5,4,8025,118,No
297,41,IT,0,3,10764,108,No
298,52,Marketing,33,4,5112,86,No
299,43,Operations,13,3,6500,20,Yes
300,53,Finance,26,2,8987,95,No
301,23,Marketing,8,3,10624,116,No
302,38,Finance,5,2,12201,80,No
303,45,Marketing,30,4,4629,50,Yes
304,51,Finance,16,5,14311,80,Yes
305,23,Operations,20,5,12041,54,Yes
306,44,Operations,26,3,10361,84,No
307,52,IT,27,1,9260,3,Yes
308,42,Marketing,15,3,9922,61,Yes
309,43,IT,34,2,14059,86,Yes
310,22,HR,34,2,10166,24,Yes
311,47,Operations,18,4,13231,95,No
312,22,Marketing,20,3,14427,69,Yes
313,46,IT,32,4,3478,13,No
314,37,IT,22,1,4310,40,Yes
315,53,HR,5,5,5143,101,No
316,29,IT,31,5,3413,105,Yes
317,59,Finance,21,3,12848,56,Yes
318,49,Operations,2,4,13823,37,No
319,46,IT,34,4,6936,61,Yes
320,55,IT,15,1,11187,40,Yes
321,45,HR,24,4,4394,44,No
322,44,Finance,16,2,5623,79,No
323,33,IT,12,2,5290,95,Yes
324,27,Operations,27,2,3638,15,Yes
325,56,Operations,10,3,14636,18,Yes
326,40,IT,9,2,3352,36,Yes
327,21,Finance,23,2,14340,106,Yes
328,28,Operations,23,5,14780,84,No
329,36,Operations,32,3,3139,78,Yes
330,34,Finance,16,2,11443,60,Yes
331,32,Finance,34,1,11860,25,Yes
332,43,IT,5,2,6842,93,Yes
333,35,Marketing,15,3,11508,103,Yes
334,48,HR,27,4,7018,78,No
335,54,Marketing,31,5,5926,63,Yes
336,22,Marketing,25,5,9892,106,Yes
337,52,Operations,10,3,10242,12,No
338,43,Finance,24,2,13201,90,Yes
339,42,Operations,30,1,14137,86,Yes
340,45,HR,20,2,4052,33,Yes
341,42,IT,2,2,6563,97,No
342,42,HR,11,1,12315,22,No
343,26,Operations,24,5,4343,107,No
344,35,Operations,16,2,3569,19,Yes
345,57,Operations,18,4,14913,53,Yes
346,53,Operations,1,4,10690,72,Yes
347,28,Marketing,16,3,6916,57,Yes
348,25,IT,29,3,12192,58,No
349,59,Marketing,9,1,5923,19,No
350,24,Operations,34,1,13428,110,Yes
351,26,Finance,32,3,7545,38,No
352,52,Marketing,0,2,6925,77,Yes
353,50,Operations,17,5,6252,112,Yes
354,55,Operations,3,4,14584,89,No
355,36,IT,26,1,13522,90,No
356,33,HR,24,3,10558,97,No
357,50,Marketing,27,4,6392,92,Yes
358,39,Marketing,21,1,5617,31,Yes
359,37,Marketing,24,1,8935,40,No
360,39,Operations,16,2,7355,108,No
361,48,IT,11,1,5013,68,No
362,46,Operations,15,5,4927,67,No
363,57,Operations,15,1,13736,86,No
364,46,Finance,16,5,8332,20,Yes
365,43,IT,30,2,9258,96,Yes
366,29,Marketing,14,5,7547,104,No
367,32,HR,12,4,9915,23,No
368,21,Marketing,26,1,6719,15,Yes
369,21,Operations,20,3,14865,31,Yes
370,54,IT,1,3,12743,82,No
371,52,IT,7,5,4682,25,Yes
372,45,IT,6,2,3384,2,No
373,21,Finance,9,5,7708,98,Yes
374,36,Marketing,3,5,6036,102,Yes
375,59,Finance,34,5,13458,81,No
376,25,HR,2,4,10023,115,No
377,42,Operations,17,4,7652,6,Yes
378,49,Finance,23,5,7445,95,No
379,23,Finance,31,2,3389,87,No
380,32,Operations,33,1,5918,15,No
381,46,IT,1,3,5113,52,No
382,36,Operations,1,4,4142,87,Yes
383,57,Marketing,9,1,3745,3,Yes
384,42,Operations,22,4,9151,44,Yes
385,49,IT,14,4,4730,31,Yes
386,34,Operations,11,4,7385,105,Yes
387,48,Finance,16,5,7123,97,Yes
388,25,HR,17,5,6230,82,No
389,50,Finance,13,4,14408,77,Yes
390,25,HR,16,4,5514,101,No
391,32,Operations,14,3,4769,57,No
392,36,Marketing,11,1,11299,12,No
393,46,Operations,15,1,5486,21,Yes
394,46,IT,31,2,7298,94,Yes
395,41,Operations,22,2,11968,43,No
396,59,HR,33,2,10992,43,Yes
397,56,Finance,33,5,9444,29,Yes
398,53,Marketing,15,5,9021,22,No
399,50,Operations,33,3,13125,11,No
400,57,Operations,6,5,9046,106,Yes
401,43,Finance,32,2,11629,13,Yes
402,30,Marketing,3,4,12226,35,Yes
403,25,Operations,6,2,3836,44,Yes
404,56,Operations,17,3,7702,71,No
405,54,HR,3,4,3641,23,Yes
406,51,HR,10,5,6174,118,No
407,30,IT,19,4,4808,2,No
408,39,Finance,10,3,10653,77,No
409,52,Marketing,14,5,9253,50,No
410,21,Operations,16,1,6875,113,Yes
411,25,Operations,33,2,11834,74,No
412,24,IT,11,2,11894,108,Yes
413,36,Operations,27,3,5848,54,Yes
414,44,Finance,34,3,14109,37,No
415,36,IT,7,2,6612,91,No
416,22,Finance,26,4,10062,86,Yes
417,48,IT,21,1,12914,81,No
418,52,Operations,23,1,12040,19,No
419,47,IT,1,3,5554,96,Yes
420,40,HR,30,3,9320,1,No
421,44,Marketing,21,4,4462,102,No
422,32,Operations,0,3,8962,100,No
423,55,Marketing,13,1,9811,25,Yes
424,53,Operations,24,2,14974,114,No
425,53,Marketing,2,1,3510,1,Yes
426,57,HR,4,4,5156,66,Yes
427,32,Marketing,0,2,5919,83,No
428,23,IT,18,2,8191,73,Yes
429,21,Marketing,32,1,9632,41,No
430,53,Operations,29,2,11924,84,No
431,30,Finance,11,2,14142,39,Yes
432,49,Marketing,9,3,4237,8,Yes
433,33,Marketing,33,2,4480,1,No
434,32,Marketing,15,4,13657,27,Yes
435,51,Operations,28,2,5010,2,Yes
436,22,Marketing,14,3,9897,15,Yes
437,55,Operations,10,5,8629,3,No
438,43,Operations,33,5,7757,22,No
439,37,Finance,29,4,10490,93,No
440,46,IT,34,4,5735,101,No
441,28,Operations,8,2,7199,76,No
442,49,HR,17,2,10286,5,Yes
443,46,Marketing,18,5,13951,73,Yes
444,30,HR,3,5,9200,54,No
445,46,Marketing,5,1,3577,80,No
446,54,Finance,32,5,11079,7,Yes
447,27,Operations,31,5,14688,72,No
448,24,IT,15,4,3818,97,No
449,31,Operations,10,1,10188,80,Yes
450,49,Marketing,21,1,7174,115,No
451,56,IT,22,2,4889,106,No
452,45,Operations,25,2,3558,113,No
453,41,IT,30,1,5933,85,No
454,56,Marketing,28,1,12811,63,Yes
455,30,Finance,4,2,9831,66,No
456,57,Finance,24,4,8949,40,No
457,29,Operations,33,4,10643,39,Yes
458,44,HR,11,4,3069,92,Yes
459,55,Marketing,21,4,4189,102,No
460,55,Operations,8,2,5902,26,No
461,56,Operations,19,3,7340,38,Yes
462,38,Finance,28,5,14308,118,Yes
463,59,IT,28,5,11875,52,Yes
464,52,Marketing,26,5,8895,39,Yes
465,44,IT,16,5,10550,51,Yes
466,43,Marketing,4,2,8697,36,Yes
467,52,HR,12,3,6910,66,Yes
468,57,Finance,14,2,14964,18,Yes
469,32,HR,14,3,11262,33,No
470,33,Operations,17,2,8984,77,No
471,43,Finance,1,1,10715,84,No
472,45,Operations,22,3,12454,65,No
473,55,HR,12,5,10747,9,No
474,50,Marketing,3,3,5155,51,No
475,37,Operations,24,4,10956,41,Yes
476,40,IT,10,3,12563,59,No
477,45,Marketing,11,4,4915,80,Yes
478,42,Marketing,12,4,10918,1,No
479,33,HR,8,1,14997,90,No
480,39,HR,5,3,7351,0,No
481,56,Finance,9,1,10468,49,No
482,32,Finance,22,5,10067,35,No
483,39,IT,14,3,8264,96,No
484,32,Marketing,22,2,8795,21,No
485,29,IT,33,2,12739,112,No
486,27,IT,15,2,7455,98,Yes
487,48,HR,31,4,10691,97,No
488,34,IT,4,2,14747,81,No
489,51,IT,16,5,4213,35,No
490,39,Operations,21,3,9439,2,Yes
491,36,Finance,17,3,13332,43,Yes
492,25,Finance,27,4,12052,117,Yes
493,55,Marketing,12,4,12181,15,Yes
494,32,Finance,0,4,5923,10,Yes
495,45,Marketing,18,5,4432,9,Yes
496,41,Operations,33,3,3340,50,No
497,56,Finance,3,1,10381,41,No
498,43,Operations,2,4,13569,84,No
499,36,Finance,9,2,4198,24,No
500,59,Finance,27,1,12659,98,Yes
501,59,Operations,33,1,7296,119,Yes
502,34,IT,18,4,11186,5,No
503,51,IT,2,2,7193,109,No
504,25,IT,22,4,11113,43,Yes
505,55,IT,16,4,12483,7,Yes
506,43,Finance,6,2,7934,33,Yes
507,49,HR,25,1,11543,40,No
508,31,Operations,17,1,9610,109,Yes
509,38,HR,5,2,12493,0,Yes
510,32,HR,30,1,14831,2,No
511,29,Marketing,28,5,6087,51,No
512,30,IT,8,4,9073,101,No
513,37,Finance,34,5,3455,90,No
514,58,IT,16,5,8853,115,Yes
515,27,IT,11,5,6250,76,Yes
516,33,HR,23,3,12349,42,No
517,29,Marketing,9,3,3257,46,Yes
518,47,IT,29,5,13301,113,Yes
519,22,Operations,28,4,3481,82,No
520,25,Operations,9,5,7730,18,No
521,49,IT,27,5,14305,69,Yes
522,57,HR,17,3,4396,46,No
523,58,HR,16,5,8418,116,No
524,39,Finance,10,4,8171,77,Yes
525,28,Marketing,0,4,9073,4,No
526,21,HR,16,5,10059,63,Yes
527,42,Finance,8,4,9455,106,No
528,37,Operations,27,5,13818,115,Yes
529,27,Operations,32,3,9202,44,No
530,45,Operations,2,5,9178,63,No
531,24,IT,7,1,3647,44,Yes
532,56,Marketing,5,3,4611,35,Yes
533,26,Finance,5,4,13460,8,No
534,51,Marketing,28,4,6884,22,Yes
535,39,IT,11,3,13946,31,Yes
536,59,Finance,8,1,7982,92,No
537,47,Finance,18,3,6586,44,No
538,30,HR,16,2,14576,27,Yes
539,46,Marketing,31,1,10673,103,No
540,39,Marketing,34,3,9080,51,No
541,59,HR,13,2,3758,10,No
542,23,Operations,15,5,3632,18,Yes
543,33,IT,20,1,10848,63,Yes
544,48,Marketing,11,5,14776,64,No
545,40,HR,23,2,3329,72,Yes
546,48,Finance,33,4,14211,56,No
547,28,HR,7,4,8446,65,Yes
548,59,Operations,20,4,11201,3,No
549,21,IT,7,5,13366,28,Yes
550,23,Operations,27,1,3984,3,Yes
551,33,Finance,15,5,3668,0,Yes
552,48,Finance,9,5,13470,91,No
553,45,Finance,14,4,3441,17,Yes
554,53,Finance,3,5,5925,109,No
555,58,HR,25,2,7020,12,No
556,26,Finance,14,3,8677,103,Yes
557,52,Finance,31,3,11465,69,No
558,41,HR,3,3,7713,48,Yes
559,36,Finance,8,4,12218,118,Yes
560,41,Operations,34,4,5373,106,No
561,31,Operations,27,3,12749,46,No
562,57,Marketing,8,1,6126,102,No
563,56,Operations,1,3,5933,85,No
564,55,IT,2,5,11639,29,No
565,39,IT,4,3,6368,26,Yes
566,40,IT,9,3,14885,71,No
567,38,HR,27,1,9516,106,No
568,34,Operations,14,4,6806,27,No
569,35,IT,13,4,8255,116,No
570,51,Marketing,22,5,11066,1,Yes
571,21,HR,12,3,14509,19,No
572,23,Marketing,15,2,11261,74,No
573,36,Operations,29,5,13769,77,No
574,43,Finance,7,4,7585,23,No
575,31,Marketing,16,1,7598,76,Yes
576,32,Finance,29,4,14248,71,No
577,30,HR,16,4,8817,43,Yes
578,52,Marketing,34,1,3116,20,No
579,36,Marketing,0,3,4813,21,Yes
580,28,HR,23,3,3903,72,Yes
581,58,HR,24,4,11685,57,Yes
582,32,IT,1,5,9205,105,No
583,44,Operations,24,2,6858,106,No
584,48,Marketing,13,5,5683,10,Yes
585,28,Marketing,32,5,7175,79,Yes
586,48,HR,16,4,6730,113,Yes
587,56,HR,30,4,9628,52,Yes
588,46,Operations,9,2,8141,8,Yes
589,28,HR,5,2,8443,66,No
590,48,Finance,24,2,4540,117,No
591,48,Finance,29,4,11088,99,Yes
592,57,Finance,33,4,10959,51,No
593,56,Finance,17,5,3625,114,No
594,47,Operations,23,4,8972,105,No
595,37,Marketing,26,3,9162,12,No
596,29,Finance,26,3,9797,0,No
597,53,HR,20,2,7858,43,Yes
598,40,Finance,18,4,3837,74,No
599,33,Operations,22,3,13207,23,No
600,48,HR,14,5,5015,4,No
601,49,Finance,1,1,14271,65,No
602,33,Marketing,34,5,8156,80,No
603,55,HR,19,1,11263,80,No
604,26,HR,27,5,14644,19,No
605,38,Marketing,14,3,10234,63,No
606,25,HR,15,4,7748,14,No
607,45,Finance,32,1,3063,67,Yes
608,22,HR,11,4,11221,53,Yes
609,30,Finance,19,4,7652,10,No
610,50,Marketing,28,3,9789,22,No
611,25,IT,2,2,10183,0,Yes
612,53,Marketing,4,2,5325,41,No
613,21,Finance,1,1,8850,113,Yes
614,38,Operations,22,3,7372,46,Yes
615,52,Marketing,25,4,9364,114,Yes
616,31,Operations,25,5,7765,67,Yes
617,41,Operations,6,5,10191,37,No
618,46,Finance,9,1,5879,1,Yes
619,45,Finance,4,1,5188,44,No
620,42,IT,11,1,5781,26,No
621,47,HR,31,3,5145,97,No
622,33,Marketing,30,5,3275,76,Yes
623,53,Finance,21,3,4266,110,Yes
624,54,Marketing,16,3,9576,60,Yes
625,55,Operations,19,4,7104,81,No
626,21,HR,19,3,14135,10,No
627,41,IT,7,3,14172,68,Yes
628,26,Marketing,33,4,5319,28,No
629,48,HR,22,2,3031,24,Yes
630,37,IT,27,4,3851,77,Yes
631,25,Marketing,12,1,11796,53,No
632,51,HR,28,2,14391,47,No
633,25,Finance,7,5,8868,45,Yes
634,58,Marketing,10,3,13256,40,Yes
635,23,HR,17,2,10720,101,No
636,43,IT,24,5,14736,40,No
637,57,HR,21,4,13540,60,No
638,57,Finance,34,4,4807,100,No
639,30,Marketing,28,1,9195,10,Yes
640,30,Marketing,20,1,9331,43,Yes
641,39,Marketing,6,2,9063,31,Yes
642,37,Finance,11,3,13390,48,Yes
643,41,IT,23,4,10411,5,Yes
644,34,Marketing,31,2,6562,115,Yes
645,29,IT,26,2,6198,56,Yes
646,21,HR,31,2,7504,5,Yes
647,33,IT,31,1,10985,46,No
648,24,IT,31,4,13084,62,No
649,21,Marketing,25,1,9734,48,Yes
650,52,Operations,10,1,14361,21,No
651,54,Operations,17,2,9989,66,Yes
652,48,Finance,4,5,5947,18,Yes
653,51,Finance,15,5,7123,54,No
654,28,Operations,10,5,14292,33,Yes
655,59,HR,34,2,7783,40,No
656,46,Marketing,10,3,14880,104,Yes
657,54,Marketing,22,4,8599,6,Yes
658,23,HR,33,2,3071,56,No
659,32,HR,16,2,13349,15,No
660,21,Operations,9,1,12328,58,Yes
661,25,Finance,17,5,8516,37,No
662,50,HR,7,2,11234,8,No
663,50,Finance,25,3,7360,76,No
664,37,IT,2,4,4831,33,No
665,43,Marketing,23,3,3045,45,No
666,35,Operations,2,2,11174,36,Yes
667,57,Marketing,1,2,14833,42,Yes
668,41,Operations,34,1,10392,46,No
669,34,IT,16,3,9071,5,No
670,22,Marketing,8,1,4675,37,Yes
671,31,IT,21,3,10268,111,No
672,59,Operations,30,5,14544,115,No
673,58,HR,33,5,9381,60,No
674,54,Marketing,23,3,9744,3,Yes
675,58,IT,8,1,12461,4,Yes
676,54,Marketing,1,5,9834,69,Yes
677,38,Marketing,20,2,6023,59,No
678,50,Marketing,33,4,5790,76,No
679,35,Finance,26,1,14362,109,Yes
680,47,IT,6,3,9343,87,No
681,54,IT,21,4,4012,91,No
682,58,Marketing,3,4,7589,76,No
683,53,HR,13,2,6507,105,Yes
684,44,Marketing,33,1,7802,112,No
685,35,Finance,22,4,5071,55,Yes
686,50,Operations,24,1,10530,81,No
687,37,Finance,0,2,13197,58,No
688,25,HR,14,3,5317,6,No
689,49,Marketing,31,4,8347,67,Yes
690,24,IT,13,4,5175,30,No
691,30,Marketing,20,4,12978,87,No
692,37,HR,6,1,14321,85,Yes
693,30,IT,20,4,5372,84,No
694,37,Finance,11,1,9802,47,No
695,40,Operations,14,5,8225,41,No
696,44,Operations,14,5,12652,89,Yes
697,25,Marketing,16,1,9228,29,Yes
698,54,Finance,33,5,8121,116,Yes
699,26,HR,34,2,11050,115,No
700,22,Operations,13,2,10732,50,No
