EmployeeID,Age,Department,YearsExperience,PerformanceScore,MonthlySalary,TrainingHours,PromotionLast5Years,,,
88,51,Marketing,1,1,5944,63,Yes,,,
89,28,IT,17,5,12436,102,No,,,
90,46,IT,7,4,8873,92,No,,,
91,51,Finance,9,3,9156,26,Yes,,,
92,39,Finance,9,3,13536,13,No,,,
93,27,Finance,16,4,12923,70,No,,,
94,25,IT,13,2,13668,40,Yes,,,
95,33,IT,21,1,6502,30,No,,,
96,38,Marketing,8,5,12900,36,Yes,,,
97,38,IT,20,4,8484,119,No,,,
98,40,HR,1,5,3421,111,Yes,,,
99,43,IT,6,3,8705,15,No,,,
100,56,IT,31,5,13998,113,No,,,
101,53,Finance,13,1,13793,55,Yes,,,
102,27,IT,21,2,3358,41,No,,,
103,25,Marketing,33,4,8338,37,Yes,,,
104,52,HR,3,1,3880,21,Yes,,,
105,29,Marketing,15,3,12260,116,Yes,,,
106,50,Operations,11,1,10879,100,No,,,
107,52,HR,27,1,3249,4,No,,,
108,59,Operations,13,5,13369,78,No,,,
109,24,IT,30,1,13224,106,No,,,
110,45,Finance,17,3,8464,72,No,,,
111,42,Marketing,16,3,9753,85,No,,,
112,28,HR,32,3,7629,58,Yes,,,
113,22,HR,15,2,3643,84,Yes,,,
114,57,Finance,15,4,6616,63,No,,,
115,55,Marketing,2,5,7457,73,No,,,
116,57,Finance,22,3,6533,73,No,,,
117,42,Operations,20,1,12940,108,No,,,
118,21,IT,24,1,10819,3,No,,,
119,59,Operations,15,5,14466,21,Yes,,,
120,53,Finance,23,5,4681,70,Yes,,,
121,24,HR,16,4,11765,105,Yes,,,
122,29,Marketing,8,3,14266,70,No,,,
123,28,HR,16,2,7663,93,Yes,,,
124,42,Finance,14,5,11861,84,Yes,,,
125,41,Finance,23,5,7041,57,Yes,,,
126,48,HR,21,1,4457,63,No,,,
127,57,HR,2,5,4903,50,No,,,
128,22,HR,31,4,8147,49,Yes,,,
129,37,Marketing,3,5,4531,5,No,,,
130,51,IT,21,1,4520,63,Yes,,,
131,33,IT,34,2,6013,76,No,,,
132,38,Finance,13,4,4656,86,No,,,
133,44,Marketing,34,2,6628,20,Yes,,,
134,51,HR,33,1,8150,75,Yes,,,
135,53,IT,13,3,7266,85,Yes,,,
136,51,Marketing,24,3,12859,10,Yes,,,
137,47,HR,2,1,5581,71,Yes,,,
138,56,Marketing,24,1,3849,22,Yes,,,
139,41,Marketing,7,1,12055,94,No,,,
140,25,Operations,2,1,12264,31,No,,,
141,31,Marketing,18,3,14091,12,No,,,
142,54,Operations,22,5,7774,80,No,,,
143,54,Finance,15,3,7355,66,No,,,
144,23,Marketing,13,1,3636,91,Yes,,,
145,26,IT,22,4,11196,42,No,,,
146,40,Marketing,5,4,11422,105,Yes,,,
147,24,IT,22,2,12197,70,Yes,,,
148,57,HR,34,5,6485,1,Yes,,,
149,59,IT,23,1,14496,108,No,,,
150,27,Finance,8,2,10334,12,Yes,,,
151,37,Marketing,27,2,12774,42,Yes,,,
152,58,Operations,24,5,14511,99,No,,,
153,56,Marketing,3,1,7703,60,No,,,
154,54,Operations,0,2,3279,59,No,,,
155,26,Operations,22,1,14639,13,Yes,,,
156,59,Marketing,5,3,13064,67,Yes,,,
157,22,IT,31,1,14707,101,No,,,
158,38,HR,19,2,13190,53,Yes,,,
159,47,IT,1,5,9507,21,No,,,
160,59,IT,20,1,9802,35,No,,,
161,39,Finance,3,3,4535,45,Yes,,,
162,52,HR,13,3,14162,81,Yes,,,
163,44,IT,22,3,12131,70,No,,,
164,54,HR,0,5,9081,39,No,,,
165,45,Operations,9,5,8578,117,Yes,,,
166,44,Marketing,11,4,8852,48,No,,,
167,45,Marketing,20,1,6169,8,Yes,,,
168,32,Marketing,0,5,12858,32,Yes,,,
169,50,HR,22,1,9993,23,Yes,,,
170,26,IT,17,4,8202,109,No,,,
171,50,HR,11,1,6294,90,Yes,,,
172,53,Marketing,28,5,6555,44,Yes,,,
173,35,IT,10,4,9380,109,No,,,
174,49,Finance,2,2,8452,77,No,,,
175,34,Marketing,15,3,12786,23,No,,,
176,45,IT,18,1,10976,101,No,,,
177,25,IT,34,3,9524,37,No,,,
178,22,Operations,30,3,11785,19,Yes,,,
179,36,Finance,6,3,6120,25,No,,,
180,59,Finance,11,1,13646,18,No,,,
181,58,Operations,8,3,13597,72,Yes,,,
182,37,IT,13,4,13282,17,No,,,
183,51,Finance,33,4,3935,77,Yes,,,
184,21,Finance,33,3,5742,0,Yes,,,
185,26,HR,10,1,5531,119,Yes,,,
186,51,IT,31,2,12587,12,Yes,,,
187,26,Operations,19,5,5375,116,Yes,,,
188,56,Marketing,11,5,13770,102,Yes,,,
189,28,Operations,32,5,5180,74,No,,,
190,49,HR,6,5,14817,45,Yes,,,
191,29,HR,15,1,13543,14,Yes,,,
192,42,Marketing,34,4,12960,110,No,,,
193,30,IT,18,4,10648,3,No,,,
194,44,Finance,17,3,10884,116,No,,,
195,22,Operations,24,3,7314,56,No,,,
196,40,Operations,10,2,12994,22,Yes,,,
197,37,Marketing,6,3,13915,9,No,,,
198,53,IT,19,1,7166,113,No,,,
199,34,IT,28,2,14059,32,No,,,
200,52,Finance,5,4,8020,113,No,,,
201,57,Operations,18,1,6213,62,No,,,
202,44,Operations,17,2,12179,42,Yes,,,
203,40,Marketing,0,4,5482,47,No,,,
204,26,Operations,30,2,3937,10,Yes,,,
205,53,IT,9,1,3340,77,No,,,
206,48,IT,28,1,7534,19,No,,,
207,31,Finance,12,1,6403,98,No,,,
208,56,Marketing,24,5,8450,115,No,,,
209,40,Operations,31,5,11002,59,No,,,
210,26,Finance,22,5,13729,95,Yes,,,
211,28,IT,29,1,13028,99,No,,,
212,39,IT,8,2,4232,10,Yes,,,
213,35,Finance,9,3,12577,94,Yes,,,
214,42,HR,33,3,4764,10,Yes,,,
215,22,HR,31,5,8739,47,Yes,,,
216,48,Marketing,0,3,8311,37,No,,,
217,56,IT,26,5,13471,75,Yes,,,
218,56,Finance,12,4,12801,30,No,,,
219,38,HR,3,3,4682,38,No,,,
220,32,Marketing,32,3,6979,117,No,,,
221,39,IT,13,1,14862,33,Yes,,,
222,46,Finance,9,1,5941,24,Yes,,,
223,45,Marketing,16,4,6927,72,No,,,
224,48,Operations,17,4,12759,59,Yes,,,
225,35,Operations,20,2,5871,99,Yes,,,
226,30,Marketing,18,1,13173,96,No,,,
227,59,HR,3,3,11627,73,Yes,,,
228,54,Marketing,7,2,10007,77,Yes,,,
229,33,HR,6,4,10905,117,Yes,,,
230,36,HR,29,5,6157,109,No,,,
231,51,Finance,29,4,3544,112,Yes,,,
232,21,IT,20,2,6114,112,Yes,,,
233,43,Finance,10,3,14082,112,No,,,
234,34,IT,22,5,11371,20,No,,,
235,59,IT,15,1,5349,42,Yes,,,
236,50,Finance,31,1,10774,113,No,,,
237,40,IT,11,5,13630,45,No,,,
238,45,HR,14,4,11466,53,Yes,,,
239,31,Operations,18,4,8749,58,Yes,,,
240,46,HR,25,4,13303,11,No,,,
241,41,Marketing,32,1,6120,115,Yes,,,
242,25,IT,9,2,13667,18,No,,,
243,27,Finance,25,2,12374,91,Yes,,,
244,32,Operations,27,4,13191,82,Yes,,,
245,22,Finance,16,5,5704,98,Yes,,,
246,59,IT,22,2,7789,21,No,,,
247,41,Operations,14,2,11379,0,Yes,,,
248,52,IT,19,2,5988,1,No,,,
249,25,IT,20,5,8705,46,No,,,
250,47,IT,34,4,11391,85,Yes,,,
251,51,Marketing,23,4,13742,41,No,,,
252,32,Operations,2,4,14450,61,No,,,
253,56,Marketing,11,3,9211,58,Yes,,,
254,41,HR,4,3,7567,38,No,,,
255,39,Marketing,4,2,8736,108,Yes,,,
256,23,HR,10,2,10446,107,Yes,,,
257,37,Operations,34,4,11476,115,No,,,
258,50,Finance,8,5,13655,105,Yes,,,
259,56,Operations,0,3,4293,81,Yes,,,
260,29,HR,14,1,14860,65,No,,,
261,54,Operations,21,1,7499,98,No,,,
262,49,Operations,5,1,10670,46,Yes,,,
263,30,Marketing,0,4,4824,101,Yes,,,
264,29,IT,14,1,14922,72,Yes,,,
265,31,IT,26,5,9273,66,No,,,
266,39,IT,27,5,11404,115,No,,,
267,42,Marketing,31,5,14649,28,No,,,
268,42,Marketing,34,2,8800,58,Yes,,,
269,36,HR,3,3,6341,33,Yes,,,
270,37,HR,5,2,8638,22,No,,,
271,27,IT,24,3,7343,117,No,,,
272,51,IT,34,1,11237,32,Yes,,,
273,24,Marketing,0,5,7315,31,No,,,
274,49,Operations,28,3,3800,52,Yes,,,
275,27,Marketing,32,3,9030,57,No,,,
276,50,Finance,8,3,6656,20,Yes,,,
277,23,IT,3,4,8873,89,No,,,
278,45,Marketing,20,5,3774,84,Yes,,,
279,54,HR,17,1,8400,114,Yes,,,
280,53,Marketing,29,5,13039,5,No,,,
281,51,Finance,27,1,6809,67,Yes,,,
282,44,Finance,33,2,7441,57,No,,,
283,58,IT,26,5,6941,45,Yes,,,
284,24,IT,9,5,12602,82,No,,,
285,30,Finance,10,5,6957,101,No,,,
286,45,HR,27,4,6104,20,No,,,
287,57,Operations,1,3,4716,79,Yes,,,
288,21,HR,24,3,7181,41,Yes,,,
289,37,IT,3,2,14920,88,Yes,,,
290,27,IT,21,4,9385,0,No,,,
291,34,Marketing,5,4,7627,47,No,,,
292,21,Operations,21,1,7699,6,Yes,,,
293,26,Operations,14,5,10342,62,Yes,,,
294,59,HR,33,1,6291,72,Yes,,,
295,30,HR,12,3,3150,65,No,,,
296,41,Marketing,30,2,13982,61,Yes,,,
297,23,IT,20,4,14440,57,No,,,
298,39,HR,4,4,8029,77,No,,,
299,48,Marketing,18,3,8612,69,Yes,,,
300,22,Finance,2,5,8786,57,No,,,
301,47,Finance,3,2,6003,25,Yes,,,
302,52,Marketing,31,5,6373,89,Yes,,,
303,32,Finance,27,2,5065,17,No,,,
304,21,Finance,33,4,12155,64,No,,,
305,49,Finance,4,1,5560,51,No,,,
306,29,IT,24,2,3343,111,Yes,,,
307,38,Marketing,22,2,4280,83,Yes,,,
308,56,Operations,10,2,4490,101,No,,,
309,36,IT,34,5,6207,103,Yes,,,
310,55,HR,14,2,6887,90,No,,,
311,56,Finance,17,5,13994,92,Yes,,,
312,24,Finance,34,2,3145,34,No,,,
313,55,IT,14,5,6689,116,No,,,
314,39,Finance,13,5,10054,79,No,,,
315,26,HR,22,1,12726,14,Yes,,,
316,51,HR,19,4,9648,46,Yes,,,
317,47,Finance,7,4,10232,47,Yes,,,
318,23,Operations,2,2,13206,27,Yes,,,
319,56,Marketing,7,5,5261,49,Yes,,,
320,56,Finance,33,2,4630,64,Yes,,,
321,22,IT,19,4,11926,27,Yes,,,
322,57,Marketing,9,2,10527,97,No,,,
323,35,Marketing,28,4,4573,35,Yes,,,
324,57,HR,19,2,4410,116,Yes,,,
325,43,Finance,10,3,7121,36,Yes,,,
326,26,IT,6,1,4999,33,No,,,
327,53,IT,26,5,5899,37,Yes,,,
328,25,Marketing,26,2,12005,27,Yes,,,
329,41,Marketing,4,4,12686,11,No,,,
330,48,IT,15,5,4058,46,Yes,,,
331,41,Finance,15,2,8858,111,No,,,
332,44,Finance,4,5,9971,8,Yes,,,
333,48,Finance,4,1,14164,48,No,,,
334,31,Marketing,2,1,14877,34,Yes,,,
335,42,Operations,2,3,8480,40,No,,,
336,54,Operations,6,2,5374,86,Yes,,,
337,57,Finance,23,1,11982,25,No,,,
338,37,Marketing,8,3,4582,1,No,,,
339,35,Marketing,32,5,9590,60,No,,,
340,49,Marketing,11,5,7302,86,Yes,,,
341,54,Marketing,7,1,3017,45,Yes,,,
342,42,Operations,10,4,4261,2,No,,,
343,47,Operations,24,2,13060,70,Yes,,,
344,58,Finance,19,3,4422,85,Yes,,,
345,35,Marketing,33,5,8366,65,No,,,
346,41,Operations,6,3,3542,78,No,,,
347,24,HR,8,3,4456,106,Yes,,,
348,38,IT,18,1,5502,20,No,,,
349,27,HR,23,5,10845,27,No,,,
350,36,HR,2,2,8890,50,No,,,
351,55,HR,21,3,13812,96,Yes,,,
352,32,HR,20,5,7246,12,Yes,,,
353,27,HR,15,4,7245,46,Yes,,,
354,30,Operations,13,5,10944,62,No,,,
355,21,Finance,19,5,8655,74,Yes,,,
356,32,IT,15,1,8807,11,No,,,
357,47,Operations,34,5,13335,46,No,,,
358,48,Finance,28,5,4613,27,Yes,,,
359,38,HR,7,4,6906,116,Yes,,,
360,21,HR,10,5,11618,22,No,,,
361,43,Operations,11,3,9292,88,Yes,,,
362,59,Operations,25,1,11379,9,No,,,
363,37,Finance,34,5,6424,72,Yes,,,
364,21,HR,10,2,10737,57,No,,,
365,58,IT,2,1,13638,7,Yes,,,
366,24,Operations,3,3,12762,9,Yes,,,
367,35,Finance,25,3,14521,105,No,,,
368,41,IT,2,2,7058,111,No,,,
369,41,IT,29,2,8781,20,Yes,,,
370,42,IT,34,2,7742,47,Yes,,,
371,34,Operations,7,2,9394,4,No,,,
372,55,Finance,17,4,8371,77,Yes,,,
373,24,HR,9,3,4579,113,Yes,,,
374,55,HR,11,3,12460,40,Yes,,,
375,52,Finance,6,3,10774,55,Yes,,,
376,48,Operations,13,4,10724,116,Yes,,,
377,32,Operations,2,5,4519,21,Yes,,,
378,50,IT,8,4,3313,82,No,,,
379,29,Finance,20,1,5566,61,No,,,
380,39,Operations,24,1,7037,27,Yes,,,
381,36,IT,9,4,8154,26,Yes,,,
382,50,Marketing,1,3,12806,73,No,,,
383,21,HR,1,2,11812,95,No,,,
384,43,HR,23,3,11837,75,No,,,
385,32,Marketing,31,4,4521,37,Yes,,,
386,25,Marketing,31,3,12833,71,No,,,
387,40,HR,28,2,7524,80,No,,,
388,23,Operations,6,1,3074,25,Yes,,,
389,22,HR,8,3,14346,31,No,,,
390,40,Operations,33,3,6220,94,Yes,,,
391,22,HR,19,5,10552,41,No,,,
392,55,IT,33,2,9642,55,Yes,,,
393,24,Operations,21,1,11789,60,No,,,
394,56,IT,19,3,10904,41,Yes,,,
395,26,IT,7,3,3946,95,Yes,,,
396,34,IT,30,5,13549,69,No,,,
397,35,IT,19,1,3073,87,Yes,,,
398,57,HR,31,2,6285,63,No,,,
399,53,Marketing,32,1,8238,108,No,,,
400,39,Finance,11,2,14776,8,No,,,
401,32,IT,4,5,11742,17,Yes,,,
402,29,HR,10,1,11055,38,No,,,
403,39,Finance,18,3,7714,54,Yes,,,
404,52,HR,27,1,7496,30,Yes,,,
405,48,IT,30,1,3834,15,Yes,,,
406,48,HR,7,2,9909,37,No,,,
407,51,Finance,5,3,7880,86,No,,,
408,56,Marketing,18,5,3577,49,Yes,,,
409,33,IT,19,3,5949,39,No,,,
410,53,IT,3,3,3992,99,No,,,
411,38,IT,32,2,14422,55,Yes,,,
412,49,HR,8,4,14730,117,Yes,,,
413,59,Operations,8,3,9312,11,No,,,
414,28,IT,16,5,7497,58,No,,,
415,42,IT,7,4,11631,79,Yes,,,
416,21,HR,34,3,5137,47,No,,,
417,51,HR,10,5,7791,30,No,,,
418,40,IT,11,1,4074,36,No,,,
419,56,Operations,14,3,7469,105,No,,,
420,43,HR,18,2,8096,97,Yes,,,
421,37,HR,24,5,6883,96,No,,,
422,30,IT,4,1,5938,83,Yes,,,
423,29,Operations,13,4,12865,32,No,,,
424,37,Finance,2,1,12960,67,Yes,,,
425,23,Finance,19,4,11467,88,Yes,,,
426,53,IT,17,3,9493,45,Yes,,,
427,21,Operations,0,5,4302,37,No,,,
428,40,Operations,30,1,12579,71,No,,,
429,22,HR,22,1,7638,65,Yes,,,
430,36,IT,28,1,6051,118,No,,,
431,29,Finance,20,1,12803,6,Yes,,,
432,34,HR,22,4,14990,30,Yes,,,
433,21,IT,14,4,14723,100,Yes,,,
434,55,HR,9,5,11984,63,Yes,,,
435,38,IT,17,4,6731,39,Yes,,,
436,21,HR,19,3,11716,49,No,,,
437,25,HR,16,1,7226,114,Yes,,,
438,31,Operations,29,2,14457,62,No,,,
439,58,Marketing,27,3,5181,74,Yes,,,
440,44,IT,18,2,10541,54,No,,,
441,59,Operations,25,3,5429,2,Yes,,,
442,52,IT,26,3,7679,95,Yes,,,
443,36,Operations,29,2,14400,58,Yes,,,
444,23,Finance,3,1,4201,64,No,,,
445,28,Operations,25,1,13803,12,No,,,
446,52,Finance,26,4,5048,52,Yes,,,
447,42,Finance,28,2,9327,62,Yes,,,
448,37,HR,32,3,9947,104,Yes,,,
449,47,Marketing,29,5,10447,21,Yes,,,
450,23,IT,3,3,9705,88,No,,,
451,46,Finance,18,4,6688,11,No,,,
452,55,IT,24,1,5993,3,No,,,
453,33,HR,2,2,8322,26,Yes,,,
454,37,Marketing,7,4,13471,37,Yes,,,
455,50,HR,22,4,10828,31,Yes,,,
456,49,Marketing,17,4,9491,90,Yes,,,
457,34,Finance,32,4,6824,119,Yes,,,
458,50,Operations,12,3,9334,119,No,,,
459,57,Marketing,25,4,8875,92,Yes,,,
460,58,HR,27,4,11435,53,No,,,
461,29,IT,33,2,5351,4,No,,,
462,52,Finance,12,5,3231,109,Yes,,,
463,24,Marketing,9,2,3318,19,Yes,,,
464,26,Finance,6,2,14083,119,Yes,,,
465,21,Finance,34,3,13959,18,Yes,,,
466,45,Marketing,15,4,14729,81,No,,,
467,58,IT,8,5,9685,80,Yes,,,
468,23,Finance,9,5,6188,62,Yes,,,
469,41,Finance,12,3,7811,56,No,,,
470,34,HR,30,2,11286,3,Yes,,,
471,50,Finance,26,4,14510,22,No,,,
472,22,Finance,16,3,7952,110,Yes,,,
473,42,Finance,15,5,10315,88,No,,,
474,33,Finance,34,4,12362,22,Yes,,,
475,45,IT,1,5,13363,89,No,,,
476,31,Operations,28,1,4091,113,Yes,,,
477,30,Operations,22,5,14127,117,No,,,
478,57,Operations,1,5,9864,84,Yes,,,
479,45,Finance,6,5,8748,63,No,,,
480,55,Operations,23,2,8128,88,Yes,,,
481,39,IT,31,1,13186,79,Yes,,,
482,48,HR,26,5,6919,88,Yes,,,
483,30,Marketing,7,3,6429,7,Yes,,,
484,35,Finance,17,2,8482,44,Yes,,,
485,52,Finance,25,4,14599,36,Yes,,,
486,23,Finance,21,4,8582,115,Yes,,,
487,44,HR,16,2,4957,16,Yes,,,
488,30,HR,16,2,7910,94,No,,,
489,50,Operations,33,1,8247,105,No,,,
490,53,Marketing,24,3,4867,101,Yes,,,
491,45,IT,18,1,5931,75,Yes,,,
492,59,Marketing,8,4,11216,5,Yes,,,
493,59,IT,18,3,8946,18,Yes,,,
494,45,Marketing,12,2,12872,77,No,,,
495,58,Marketing,15,5,7519,1,No,,,
496,32,Marketing,21,1,3626,94,No,,,
497,24,HR,27,1,13428,115,Yes,,,
498,48,HR,15,4,4741,6,Yes,,,
499,40,Marketing,16,1,10148,81,No,,,
500,30,Finance,26,1,5122,17,No,,,
501,51,Marketing,8,5,11811,23,Yes,,,
502,39,Operations,18,5,11246,48,Yes,,,
503,22,Operations,28,5,4764,113,Yes,,,
504,24,Finance,19,5,10087,72,Yes,,,
505,35,Marketing,33,3,6431,26,No,,,
506,58,Finance,13,4,10212,72,Yes,,,
507,53,HR,17,4,4371,68,Yes,,,
508,38,Finance,28,3,8377,115,No,,,
509,52,Finance,17,2,5727,92,No,,,
510,52,Operations,31,5,14797,45,Yes,,,
511,33,Operations,8,1,6496,50,Yes,,,
512,36,IT,13,5,7300,67,Yes,,,
513,53,IT,11,3,7974,55,No,,,
514,54,HR,29,3,6127,10,Yes,,,
515,34,Finance,4,3,13698,111,No,,,
516,22,Operations,3,5,7423,10,Yes,,,
517,33,Finance,1,1,9021,71,No,,,
518,49,IT,32,1,12288,110,Yes,,,
519,54,Finance,29,2,13159,119,No,,,
520,37,Finance,6,3,10652,85,No,,,
521,23,Operations,16,5,8075,105,Yes,,,
522,50,Finance,9,5,5175,117,Yes,,,
523,24,Operations,5,2,3508,94,No,,,
524,51,IT,18,4,11696,64,Yes,,,
525,25,Marketing,0,3,8648,84,No,,,
526,22,IT,13,1,3955,58,Yes,,,
527,24,Finance,5,3,7510,11,No,,,
528,58,IT,13,1,6269,43,No,,,
529,47,Marketing,7,5,9667,39,No,,,
530,47,Finance,23,5,5629,56,No,,,
531,35,Finance,13,4,13281,65,Yes,,,
532,59,Finance,4,3,14666,34,No,,,
533,58,Operations,6,5,9458,112,No,,,
534,34,Finance,6,3,9240,118,Yes,,,
535,38,Finance,28,2,7940,50,No,,,
536,49,Finance,26,1,13646,90,Yes,,,
537,27,Finance,6,1,6192,56,Yes,,,
538,58,Finance,18,4,5079,114,Yes,,,
539,44,Finance,4,3,10567,118,No,,,
540,58,Finance,9,4,14318,63,Yes,,,
541,26,HR,12,1,5844,69,Yes,,,
542,40,HR,5,1,8930,84,No,,,
543,56,IT,28,3,4772,55,No,,,
544,30,IT,34,3,11816,13,No,,,
545,42,Finance,26,1,13548,71,Yes,,,
546,53,Finance,13,2,7396,10,No,,,
547,43,Finance,22,2,8329,40,No,,,
548,24,IT,4,2,7687,66,Yes,,,
549,41,Operations,13,4,6628,64,Yes,,,
550,33,IT,33,5,5833,62,Yes,,,
551,33,Finance,16,1,3785,21,Yes,,,
552,32,Marketing,11,4,3235,15,Yes,,,
553,44,HR,5,5,7995,97,No,,,
554,55,Marketing,11,3,4208,16,No,,,
555,39,IT,28,5,11103,16,Yes,,,
556,29,Operations,8,4,13072,91,Yes,,,
557,33,Marketing,1,2,11599,41,No,,,
558,42,Marketing,18,1,6385,87,No,,,
559,56,HR,16,3,10047,110,Yes,,,
560,48,IT,12,5,9513,87,No,,,
561,27,Operations,19,4,4465,42,Yes,,,
562,50,IT,19,2,8784,28,No,,,
563,51,IT,15,1,12025,71,No,,,
564,31,Operations,18,4,4264,33,No,,,
565,50,HR,32,4,6609,66,No,,,
566,35,Finance,32,2,12893,44,No,,,
567,33,Marketing,13,4,4535,119,Yes,,,
568,55,IT,20,2,5606,96,No,,,
569,55,Operations,27,1,8329,105,No,,,
570,40,Finance,34,3,7540,34,Yes,,,
571,43,IT,18,3,10079,90,No,,,
572,57,Marketing,16,5,4255,57,No,,,
573,40,Marketing,10,2,10622,61,No,,,
574,39,IT,11,2,14736,72,No,,,
575,38,IT,3,5,14423,27,Yes,,,
576,24,Finance,27,4,10187,57,No,,,
577,28,Marketing,1,2,9676,38,No,,,
578,50,Operations,22,3,8198,101,Yes,,,
579,40,IT,4,2,12299,83,Yes,,,
580,28,Operations,15,3,14467,118,Yes,,,
581,25,Finance,17,2,9393,105,No,,,
582,54,IT,28,3,9102,37,Yes,,,
583,27,HR,33,5,10651,16,No,,,
584,42,HR,9,4,8406,71,Yes,,,
585,29,Operations,4,2,8453,118,No,,,
586,31,IT,16,4,6047,100,Yes,,,
587,32,Operations,32,1,12001,118,Yes,,,
588,28,Marketing,7,5,6604,77,Yes,,,
589,52,Finance,26,3,14104,39,Yes,,,
590,37,IT,31,2,7187,93,No,,,
591,46,HR,9,2,9616,29,No,,,
592,53,Operations,18,3,7775,18,Yes,,,
593,46,HR,8,2,3343,69,Yes,,,
594,42,Operations,16,1,5334,22,No,,,
595,23,HR,23,1,13334,98,No,,,
596,51,Finance,11,2,3213,9,Yes,,,
597,34,IT,24,4,13578,21,No,,,
598,38,Marketing,23,5,14441,105,Yes,,,
599,54,Finance,9,5,3096,29,Yes,,,
600,37,Marketing,2,1,5675,35,Yes,,,
601,32,Operations,27,4,10975,100,Yes,,,
602,59,Finance,33,4,3921,108,No,,,
603,53,Marketing,22,3,8220,20,No,,,
604,52,Marketing,26,3,14626,73,Yes,,,
605,41,HR,27,4,13992,88,No,,,
606,34,Operations,11,3,13613,73,No,,,
607,22,Operations,16,5,4719,81,Yes,,,
608,27,HR,26,4,6526,2,Yes,,,
609,35,Operations,22,3,6974,63,Yes,,,
